Project Name,Package Name,Type Name,Code Smell
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,Deficient Encapsulation
EventBus,org.greenrobot.eventbusp,EventBus,Deficient Encapsulation
EventBus,org.greenrobot.eventbusp,EventBus,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbusp,EventBus,Insufficient Modularization
EventBus,org.greenrobot.eventbusp,PostingThreadState,Broken Modularization
EventBus,org.greenrobot.eventbusp,PostCallback,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,Logger,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbusp,JavaLogger,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,SystemOutLogger,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,Default,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,SubscriberExceptionEvent,Deficient Encapsulation
EventBus,org.greenrobot.eventbusp,SubscriberExceptionEvent,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbusp,EventBusException,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,NoSubscriberEvent,Deficient Encapsulation
EventBus,org.greenrobot.eventbusp,MainThreadSupport,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbusp,AsyncPoster,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbusp,BackgroundPoster,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbusp,EventBusBuilder,Multifaceted Abstraction
EventBus,org.greenrobot.eventbusp,EventBusBuilder,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbusp,EventBusSubscriberExceptionTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusSubscriberExceptionTest,Broken Hierarchy
EventBus,org.greenrobot.eventbusp,BadExceptionSubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusInheritanceTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,MyEventInterface,Unnecessary Abstraction
EventBus,org.greenrobot.eventbusp,MyEvent,Unnecessary Abstraction
EventBus,org.greenrobot.eventbusp,MyEventInterfaceExtended,Unnecessary Abstraction
EventBus,org.greenrobot.eventbusp,MyEventExtended,Unnecessary Abstraction
EventBus,org.greenrobot.eventbusp,StickySubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,AbstractEventBusTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,AbstractEventBusTest,Wide Hierarchy
EventBus,org.greenrobot.eventbusp,EventBusInheritanceDisabledSubclassTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusBuilderTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusBuilderTest,Broken Hierarchy
EventBus,org.greenrobot.eventbusp,SubscriberExceptionEventTracker,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,NoSubscriberEventTracker,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,ThrowingSubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusStickyEventTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusStickyEventTest,Broken Hierarchy
EventBus,org.greenrobot.eventbusp,RemoveStickySubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,NonStickySubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusMultithreadedTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusMultithreadedTest,Broken Hierarchy
EventBus,org.greenrobot.eventbusp,PosterThread,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusInheritanceSubclassTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusInheritanceSubclassNoMethodTest,Unnecessary Abstraction
EventBus,org.greenrobot.eventbusp,EventBusInheritanceSubclassNoMethodTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusRegistrationRacingTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusRegistrationRacingTest,Broken Hierarchy
EventBus,org.greenrobot.eventbusp,EventBusFallbackToReflectionTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusFallbackToReflectionTest,Broken Hierarchy
EventBus,org.greenrobot.eventbusp,PrivateEvent,Unnecessary Abstraction
EventBus,org.greenrobot.eventbusp,PublicClass,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,PrivateClass,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,PublicWithPrivateSuperClass,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,PublicClassWithPrivateEvent,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,PublicClassWithPublicAndPrivateEvent,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,PublicWithPrivateEventInSuperclass,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,Deficient Encapsulation
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,Broken Hierarchy
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,Insufficient Modularization
EventBus,org.greenrobot.eventbusp,WithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbusp,StringEventSubscriber,Deficient Encapsulation
EventBus,org.greenrobot.eventbusp,CharSequenceSubscriber,Unutilized Abstraction
