Project Name,Package Name,Type Name,Method Name,Code Smell
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,process,Long Statement
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,process,Long Statement
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,checkForSubscribersToSkip,Complex Method
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,getSuperclass,Complex Conditional
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,writeCreateSubscriberMethods,Long Statement
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,writeCreateSubscriberMethods,Magic Number
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,createInfoIndexFile,Empty catch clause
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,writeIndexLines,Long Statement
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,writeIndexLines,Magic Number
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,writeLine,Magic Number
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,writeLine,Magic Number
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,writeLine,Magic Number
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,writeLine,Magic Number
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,writeLine,Magic Number
EventBus,org.greenrobot.eventbusp,SubscriberMethod,checkMethodString,Magic Number
EventBus,org.greenrobot.eventbusp,EventBus,EventBus,Long Statement
EventBus,org.greenrobot.eventbusp,EventBus,register,Long Statement
EventBus,org.greenrobot.eventbusp,EventBus,register,Long Statement
EventBus,org.greenrobot.eventbusp,EventBus,subscribe,Complex Method
EventBus,org.greenrobot.eventbusp,EventBus,postSingleEvent,Complex Conditional
EventBus,org.greenrobot.eventbusp,EventBus,postToSubscription,Complex Method
EventBus,org.greenrobot.eventbusp,EventBus,postToSubscription,Missing default
EventBus,org.greenrobot.eventbusp,EventBus,handleSubscriberException,Long Statement
EventBus,org.greenrobot.eventbusp,EventBus,handleSubscriberException,Long Statement
EventBus,org.greenrobot.eventbusp,EventBus,handleSubscriberException,Long Statement
EventBus,org.greenrobot.eventbusp,PendingPost,releasePendingPost,Magic Number
EventBus,org.greenrobot.eventbusp,SubscriberMethodFinder,findSubscriberMethods,Long Statement
EventBus,org.greenrobot.eventbusp,SubscriberMethodFinder,findUsingReflectionInSingleClass,Complex Method
EventBus,org.greenrobot.eventbusp,SubscriberMethodFinder,findUsingReflectionInSingleClass,Long Statement
