Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
EventBus,org.greenrobot.eventbusp.annotationprocessor,EventBusAnnotationProcessor,7,2,18,2,360,72,0,0,0.2222222222222222,0,0
EventBus,org.greenrobot.eventbusp,Poster,0,0,1,0,12,1,3,0,-1.0,1,1
EventBus,org.greenrobot.eventbusp,SubscriberMethod,11,0,10,9,76,13,0,0,0.2,6,2
EventBus,org.greenrobot.eventbusp,Builder,5,0,5,5,26,5,0,0,1.0,1,0
EventBus,org.greenrobot.eventbusp,EventBus,28,1,33,17,488,89,0,0,0.21212121212121213,27,14
EventBus,org.greenrobot.eventbusp,PostingThreadState,6,0,0,0,11,0,0,0,-1.0,1,1
EventBus,org.greenrobot.eventbusp,PostCallback,0,0,1,0,3,1,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbusp,PendingPost,4,0,3,0,33,5,0,0,0.0,6,2
EventBus,org.greenrobot.eventbusp,Logger,1,0,8,6,33,9,2,0,-1.0,4,1
EventBus,org.greenrobot.eventbusp,JavaLogger,1,0,3,3,12,3,0,1,0.0,0,0
EventBus,org.greenrobot.eventbusp,SystemOutLogger,0,0,2,2,9,2,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbusp,Default,0,0,1,1,8,2,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp,SubscriberExceptionEvent,4,4,1,1,28,1,0,0,0.0,6,1
EventBus,org.greenrobot.eventbusp,EventBusException,1,0,3,3,16,3,0,0,1.0,0,0
EventBus,org.greenrobot.eventbusp,SubscriberMethodFinder,23,0,14,0,228,45,0,0,0.0,1,3
EventBus,org.greenrobot.eventbusp,FindState,8,0,5,0,67,11,0,0,0.0,1,1
EventBus,org.greenrobot.eventbusp,PendingPostQueue,2,0,3,0,36,9,0,0,0.0,3,1
EventBus,org.greenrobot.eventbusp,NoSubscriberEvent,2,2,1,1,18,1,0,0,0.0,4,1
EventBus,org.greenrobot.eventbusp,MainThreadSupport,0,0,2,0,7,2,0,0,-1.0,3,1
EventBus,org.greenrobot.eventbusp,Subscription,3,0,3,2,25,4,0,0,0.0,8,2
EventBus,org.greenrobot.eventbusp,AsyncPoster,2,0,3,2,24,4,0,1,0.0,1,4
