Project Name,Package Name,Type Name,Code Smell
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,Deficient Encapsulation
EventBus,org.greenrobot.eventbus,EventBus,Deficient Encapsulation
EventBus,org.greenrobot.eventbus,EventBus,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbus,EventBus,Insufficient Modularization
EventBus,org.greenrobot.eventbus,PostingThreadState,Broken Modularization
EventBus,org.greenrobot.eventbus,PostCallback,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,Logger,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbus,JavaLogger,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,SystemOutLogger,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,Default,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,SubscriberExceptionEvent,Deficient Encapsulation
EventBus,org.greenrobot.eventbus,SubscriberExceptionEvent,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbus,EventBusException,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,NoSubscriberEvent,Deficient Encapsulation
EventBus,org.greenrobot.eventbus,MainThreadSupport,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbus,AsyncPoster,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbus,BackgroundPoster,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbus,EventBusBuilder,Multifaceted Abstraction
EventBus,org.greenrobot.eventbus,EventBusBuilder,Cyclic-Dependent Modularization
EventBus,org.greenrobot.eventbus,EventBusSubscriberExceptionTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusSubscriberExceptionTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,BadExceptionSubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,MyEventInterface,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,MyEvent,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,MyEventInterfaceExtended,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,MyEventExtended,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,StickySubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,AbstractEventBusTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,AbstractEventBusTest,Wide Hierarchy
EventBus,org.greenrobot.eventbus,EventBusInheritanceDisabledSubclassTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusBuilderTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusBuilderTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,SubscriberExceptionEventTracker,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,NoSubscriberEventTracker,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,ThrowingSubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,RemoveStickySubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,NonStickySubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,PosterThread,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusInheritanceSubclassTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusInheritanceSubclassNoMethodTest,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,EventBusInheritanceSubclassNoMethodTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusRegistrationRacingTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusRegistrationRacingTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,EventBusFallbackToReflectionTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusFallbackToReflectionTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,PrivateEvent,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,PublicClass,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,PrivateClass,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,PublicWithPrivateSuperClass,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,PublicClassWithPrivateEvent,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,PublicClassWithPublicAndPrivateEvent,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,PublicWithPrivateEventInSuperclass,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusBasicTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusBasicTest,Deficient Encapsulation
EventBus,org.greenrobot.eventbus,EventBusBasicTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,EventBusBasicTest,Insufficient Modularization
EventBus,org.greenrobot.eventbus,WithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,StringEventSubscriber,Deficient Encapsulation
EventBus,org.greenrobot.eventbus,CharSequenceSubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,ObjectSubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,MyEvent,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,MyEvent,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,MyEventExtended,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,MyEventExtended,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,RepostInteger,Deficient Encapsulation
EventBus,org.greenrobot.eventbus,EventBusNoSubscriberEventTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusNoSubscriberEventTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,DummySubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,BadNoSubscriberSubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusGenericsTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusGenericsTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,GenericEvent,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,GenericFloatEventSubscriber,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,Insufficient Modularization
EventBus,org.greenrobot.eventbus,PrioSubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,PrioSubscriberSticky,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusCancelEventDeliveryTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusCancelEventDeliveryTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,SubscriberCancelOtherEvent,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,IntTestEvent,Deficient Encapsulation
EventBus,org.greenrobot.eventbus,EventBusInheritanceDisabledSubclassNoMethod,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,EventBusInheritanceDisabledSubclassNoMethod,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusSubscriberLegalTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusSubscriberLegalTest,Broken Hierarchy
EventBus,org.greenrobot.eventbus,Abstract,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,AbstractImpl,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusInheritanceDisabledTest,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,MyEventInterface,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,MyEventInterface,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,MyEvent,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,MyEvent,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,MyEventInterfaceExtended,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,MyEventInterfaceExtended,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,MyEventExtended,Unnecessary Abstraction
EventBus,org.greenrobot.eventbus,MyEventExtended,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,StickySubscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbus,EventBusSubscriberInJarTest,Unutilized Abstraction
