Project Name,Package Name,Type Name,Method Name,Code Smell
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,process,Complex Method
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,process,Long Statement
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,process,Long Statement
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,checkForSubscribersToSkip,Complex Method
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,getSuperclass,Complex Conditional
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,writeCreateSubscriberMethods,Long Statement
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,writeCreateSubscriberMethods,Magic Number
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,createInfoIndexFile,Empty catch clause
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,writeIndexLines,Long Statement
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,writeIndexLines,Magic Number
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,writeLine,Magic Number
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,writeLine,Magic Number
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,writeLine,Magic Number
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,writeLine,Magic Number
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,writeLine,Magic Number
EventBus,org.greenrobot.eventbus,SubscriberMethod,SubscriberMethod,Long Parameter List
EventBus,org.greenrobot.eventbus,SubscriberMethod,checkMethodString,Magic Number
EventBus,org.greenrobot.eventbus,EventBus,EventBus,Long Statement
EventBus,org.greenrobot.eventbus,EventBus,register,Long Statement
EventBus,org.greenrobot.eventbus,EventBus,register,Long Statement
EventBus,org.greenrobot.eventbus,EventBus,subscribe,Complex Method
EventBus,org.greenrobot.eventbus,EventBus,postSingleEvent,Complex Conditional
EventBus,org.greenrobot.eventbus,EventBus,postToSubscription,Complex Method
EventBus,org.greenrobot.eventbus,EventBus,postToSubscription,Missing default
EventBus,org.greenrobot.eventbus,EventBus,handleSubscriberException,Long Statement
EventBus,org.greenrobot.eventbus,EventBus,handleSubscriberException,Long Statement
EventBus,org.greenrobot.eventbus,EventBus,handleSubscriberException,Long Statement
EventBus,org.greenrobot.eventbus,PendingPost,releasePendingPost,Magic Number
EventBus,org.greenrobot.eventbus,SubscriberMethodFinder,findSubscriberMethods,Long Statement
EventBus,org.greenrobot.eventbus,SubscriberMethodFinder,findUsingReflectionInSingleClass,Complex Method
EventBus,org.greenrobot.eventbus,SubscriberMethodFinder,findUsingReflectionInSingleClass,Long Statement
EventBus,org.greenrobot.eventbus,SubscriberMethodFinder,findUsingReflectionInSingleClass,Long Statement
EventBus,org.greenrobot.eventbus,SubscriberMethodFinder,findUsingReflectionInSingleClass,Long Statement
EventBus,org.greenrobot.eventbus,SubscriberMethodFinder,moveToSuperclass,Complex Conditional
EventBus,org.greenrobot.eventbus,SubscriberMethodFinder,moveToSuperclass,Long Statement
EventBus,org.greenrobot.eventbus,FindState,moveToSuperclass,Complex Conditional
EventBus,org.greenrobot.eventbus,FindState,moveToSuperclass,Long Statement
EventBus,org.greenrobot.eventbus,BackgroundPoster,run,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBuilder,skipMethodVerificationFor,Long Identifier
EventBus,org.greenrobot.eventbus,EventBusBuilder,installDefaultEventBus,Long Statement
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,testEventClassHierarchy,Magic Number
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,testEventClassHierarchy,Magic Number
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,testEventClassHierarchy,Magic Number
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,testEventClassHierarchySticky,Magic Number
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,testEventClassHierarchySticky,Magic Number
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,testEventInterfaceHierarchy,Magic Number
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,testSubscriberClassHierarchy,Magic Number
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,testSubscriberClassHierarchy,Magic Number
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,testSubscriberClassHierarchy,Magic Number
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,testSubscriberClassHierarchyWithoutNewSubscriberMethod,Magic Number
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,testSubscriberClassHierarchyWithoutNewSubscriberMethod,Magic Number
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,testSubscriberClassHierarchyWithoutNewSubscriberMethod,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBuilderTest,testThrowSubscriberException,Empty catch clause
EventBus,org.greenrobot.eventbus,EventBusBuilderTest,testInstallDefaultEventBus,Empty catch clause
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,testPostStickyTwoEvents,Magic Number
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,testPostStickyTwoEvents,Magic Number
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,testPostStickyTwoSubscribers,Magic Number
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,testPostStickyTwoSubscribers,Magic Number
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,testPostStickyTwoSubscribers,Magic Number
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,testPostStickyTwoSubscribers,Magic Number
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,testPostStickyTwoSubscribers,Magic Number
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,testPostStickyWithRegisterAndUnregister,Magic Number
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,testPostStickyWithRegisterAndUnregister,Magic Number
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,testPostStickyWithRegisterAndUnregister,Magic Number
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,testPostStickyRemoveAll,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,testPost04Threads,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,testPost40Threads,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,testPostMixedEventType04Threads,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,testPostMixedEventType40Threads,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsSingleEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsSingleEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusRegistrationRacingTest,run,Magic Number
EventBus,org.greenrobot.eventbus,SubscriberThread,run,Magic Number
EventBus,org.greenrobot.eventbus,EventBusFallbackToReflectionTest,testAnonymousSubscriberClassWithPublicSuperclass,Magic Number
EventBus,org.greenrobot.eventbus,EventBusFallbackToReflectionTest,testAnonymousSubscriberClassWithPrivateSuperclass,Magic Number
EventBus,org.greenrobot.eventbus,EventBusFallbackToReflectionTest,testSubscriberClassWithPublicAndPrivateEvent,Magic Number
EventBus,org.greenrobot.eventbus,EventBusFallbackToReflectionTest,testSubscriberExtendingClassWithPrivateEvent,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
