Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
EventBus,org.greenrobot.eventbus.annotationprocessor,EventBusAnnotationProcessor,7,2,17,2,356,71,0,0,0.23529411764705882,0,0
EventBus,org.greenrobot.eventbus,Poster,0,0,1,0,12,1,3,0,-1.0,1,1
EventBus,org.greenrobot.eventbus,SubscriberMethod,6,0,4,3,47,7,0,0,0.0,5,1
EventBus,org.greenrobot.eventbus,EventBus,28,1,33,17,488,89,0,0,0.21212121212121213,27,14
EventBus,org.greenrobot.eventbus,PostingThreadState,6,0,0,0,11,0,0,0,-1.0,1,1
EventBus,org.greenrobot.eventbus,PostCallback,0,0,1,0,3,1,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbus,PendingPost,4,0,3,0,33,5,0,0,0.0,6,2
EventBus,org.greenrobot.eventbus,Logger,1,0,8,6,33,9,2,0,-1.0,4,1
EventBus,org.greenrobot.eventbus,JavaLogger,1,0,3,3,12,3,0,1,0.0,0,0
EventBus,org.greenrobot.eventbus,SystemOutLogger,0,0,2,2,9,2,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbus,Default,0,0,1,1,8,2,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus,SubscriberExceptionEvent,4,4,1,1,28,1,0,0,0.0,6,1
EventBus,org.greenrobot.eventbus,EventBusException,1,0,3,3,16,3,0,0,1.0,0,0
EventBus,org.greenrobot.eventbus,SubscriberMethodFinder,17,0,14,0,222,45,0,0,0.0,1,3
EventBus,org.greenrobot.eventbus,FindState,8,0,5,0,67,11,0,0,0.0,1,1
EventBus,org.greenrobot.eventbus,PendingPostQueue,2,0,3,0,36,9,0,0,0.0,3,1
EventBus,org.greenrobot.eventbus,NoSubscriberEvent,2,2,1,1,18,1,0,0,0.0,4,1
EventBus,org.greenrobot.eventbus,MainThreadSupport,0,0,2,0,7,2,0,0,-1.0,3,1
EventBus,org.greenrobot.eventbus,Subscription,3,0,3,2,25,4,0,0,0.0,8,2
EventBus,org.greenrobot.eventbus,AsyncPoster,2,0,3,2,24,4,0,1,0.0,1,4
EventBus,org.greenrobot.eventbus,BackgroundPoster,3,0,3,2,48,7,0,1,0.0,1,4
EventBus,org.greenrobot.eventbus,EventBusBuilder,14,0,17,14,149,23,0,0,0.9411764705882353,2,5
EventBus,org.greenrobot.eventbus,EventBusSubscriberExceptionTest,0,0,5,5,34,5,0,1,-1.0,0,2
EventBus,org.greenrobot.eventbus,BadExceptionSubscriber,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus,EventBusInheritanceTest,6,0,17,17,119,17,2,0,0.0,0,7
EventBus,org.greenrobot.eventbus,MyEventInterface,0,0,0,0,2,0,4,0,-1.0,4,0
EventBus,org.greenrobot.eventbus,MyEvent,0,0,0,0,2,0,3,1,-1.0,7,0
EventBus,org.greenrobot.eventbus,MyEventInterfaceExtended,0,0,0,0,2,0,2,1,-1.0,4,0
EventBus,org.greenrobot.eventbus,MyEventExtended,0,0,0,0,2,0,0,2,-1.0,5,0
EventBus,org.greenrobot.eventbus,StickySubscriber,0,0,5,5,17,5,0,0,-1.0,0,4
EventBus,org.greenrobot.eventbus,AbstractEventBusTest,6,0,10,3,78,15,14,0,0.4,0,1
EventBus,org.greenrobot.eventbus,EventBusInheritanceDisabledSubclassTest,1,0,2,2,8,2,0,1,1.0,1,1
EventBus,org.greenrobot.eventbus,EventBusBuilderTest,0,0,8,8,60,8,0,1,-1.0,0,4
EventBus,org.greenrobot.eventbus,SubscriberExceptionEventTracker,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus,NoSubscriberEventTracker,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus,ThrowingSubscriber,0,0,1,1,5,1,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbus,EventBusStickyEventTest,0,0,19,19,131,19,0,1,-1.0,0,2
EventBus,org.greenrobot.eventbus,RemoveStickySubscriber,0,0,1,1,5,1,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbus,NonStickySubscriber,0,0,2,2,8,2,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus,StickyIntTestSubscriber,0,0,1,1,5,1,0,0,-1.0,1,1
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,11,0,17,12,130,21,1,1,0.0,0,1
EventBus,org.greenrobot.eventbus,PosterThread,3,0,2,2,22,3,0,0,0.0,0,0
EventBus,org.greenrobot.eventbus,EventBusInheritanceSubclassTest,1,0,2,2,8,2,0,1,1.0,1,1
EventBus,org.greenrobot.eventbus,EventBusInheritanceSubclassNoMethodTest,0,0,0,0,2,0,0,1,-1.0,1,0
EventBus,org.greenrobot.eventbus,EventBusRegistrationRacingTest,8,0,4,3,59,8,0,1,0.5,0,1
EventBus,org.greenrobot.eventbus,SubscriberThread,1,0,2,2,19,2,0,0,1.0,1,0
EventBus,org.greenrobot.eventbus,EventBusFallbackToReflectionTest,0,0,16,16,94,16,0,1,-1.0,0,1
EventBus,org.greenrobot.eventbus,PrivateEvent,0,0,0,0,2,0,0,0,-1.0,3,0
EventBus,org.greenrobot.eventbus,PublicClass,0,0,1,1,5,1,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbus,PrivateClass,0,0,1,1,5,1,1,0,-1.0,0,0
EventBus,org.greenrobot.eventbus,PublicWithPrivateSuperClass,0,0,1,1,5,1,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbus,PublicClassWithPrivateEvent,0,0,1,1,5,1,1,0,-1.0,0,1
EventBus,org.greenrobot.eventbus,PublicClassWithPublicAndPrivateEvent,0,0,2,2,8,2,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus,PublicWithPrivateEventInSuperclass,0,0,1,1,5,1,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbus,EventBusBasicTest,11,3,27,27,201,30,2,1,0.5185185185185185,1,5
EventBus,org.greenrobot.eventbus,WithIndex,0,0,1,1,4,1,0,2,-1.0,0,0
EventBus,org.greenrobot.eventbus,StringEventSubscriber,1,1,1,1,6,1,0,0,0.0,1,0
EventBus,org.greenrobot.eventbus,CharSequenceSubscriber,0,0,1,1,4,1,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbus,ObjectSubscriber,0,0,1,1,4,1,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbus,MyEvent,0,0,0,0,2,0,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbus,MyEventExtended,0,0,0,0,2,0,0,2,-1.0,0,0
EventBus,org.greenrobot.eventbus,RepostInteger,2,2,1,1,14,2,0,0,0.0,1,0
EventBus,org.greenrobot.eventbus,EventBusIndexTest,1,0,3,3,24,3,0,0,0.6666666666666666,1,4
EventBus,org.greenrobot.eventbus,EventBusNoSubscriberEventTest,0,0,7,7,45,7,0,1,-1.0,0,3
EventBus,org.greenrobot.eventbus,DummySubscriber,0,0,1,1,4,1,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbus,BadNoSubscriberSubscriber,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus,EventBusGenericsTest,1,0,7,7,53,7,0,1,1.0,0,5
EventBus,org.greenrobot.eventbus,GenericEvent,1,0,0,0,3,0,0,0,-1.0,2,0
EventBus,org.greenrobot.eventbus,GenericEventSubscriber,0,0,1,1,5,1,0,0,-1.0,1,1
EventBus,org.greenrobot.eventbus,FullGenericEventSubscriber,0,0,1,1,5,1,0,0,-1.0,1,0
EventBus,org.greenrobot.eventbus,GenericNumberEventSubscriber,0,0,1,1,5,1,1,0,-1.0,1,0
EventBus,org.greenrobot.eventbus,GenericFloatEventSubscriber,0,0,0,0,2,0,0,1,-1.0,1,0
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,3,0,31,28,120,33,0,1,0.7419354838709677,0,1
EventBus,org.greenrobot.eventbus,PrioSubscriber,0,0,12,11,43,13,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus,PrioSubscriberSticky,0,0,12,11,43,13,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus,EventBusCancelEventDeliveryTest,4,0,12,11,85,14,1,1,0.75,0,1
EventBus,org.greenrobot.eventbus,Subscriber,2,0,6,5,28,8,0,0,0.0,1,0
EventBus,org.greenrobot.eventbus,SubscriberCancelOtherEvent,0,0,1,1,10,1,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbus,SubscriberMainThread,1,0,1,1,12,1,0,0,0.0,1,0
EventBus,org.greenrobot.eventbus,IntTestEvent,1,1,1,1,6,1,0,0,0.0,7,0
EventBus,org.greenrobot.eventbus,EventBusInheritanceDisabledSubclassNoMethod,0,0,0,0,2,0,0,1,-1.0,1,0
EventBus,org.greenrobot.eventbus,EventBusSubscriberLegalTest,0,0,5,5,27,5,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbus,Abstract,0,0,1,1,3,1,1,0,-1.0,0,0
EventBus,org.greenrobot.eventbus,AbstractImpl,0,0,1,1,5,1,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbus,EventBusInheritanceDisabledTest,6,0,17,17,119,17,2,0,0.0,0,7
EventBus,org.greenrobot.eventbus,MyEventInterface,0,0,0,0,2,0,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbus,MyEvent,0,0,0,0,2,0,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbus,MyEventInterfaceExtended,0,0,0,0,2,0,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbus,MyEventExtended,0,0,0,0,2,0,0,2,-1.0,0,0
EventBus,org.greenrobot.eventbus,StickySubscriber,0,0,5,5,17,5,0,0,-1.0,0,4
